Gene name	TranscriptID	Chromosome	Transcript length	GC Content	GC Stretch	Missing exon	Deleted exon	TOGA status
ACADVL	XM_023502775.2	NC_045429.1	1956	49.54	3.81720430107527	Yes	No	I
ACAP1	XM_031965419.1	NC_045429.1	2307	51.58	3.92622950819672	No	No	I
ACAT2	XM_031937540.1	NC_045429.1	1194	47.40	3.72549019607843	No	No	I
ACBD3	XM_031967025.1	NC_045429.1	1608	49.81	4.76470588235294	No	No	I
ACBD4	XM_003768431.4	NC_045429.1	948	57.28	3.97058823529412	No	No	I
ACBD5	XM_031939827.1	NC_045430.1	1548	42.31	3.52542372881356	No	No	I
ACBD6	XM_031936979.1	NC_045429.1	852	50.82	4.61538461538461	No	No	I
ACBD7	XM_003771904.4	NC_045430.1	267	38.20	3.28571428571429	No	No	I
ACD	XM_031950274.1	NC_045427.1	1488	60.35	3.90598290598291	No	No	I
ACE2	XM_031958965.1	NC_045428.1	2418	41.07	3.47945205479452	Yes	No	PI
ACER1	XM_031947751.1	NC_045426.1	807	48.20	3.69230769230769	No	No	I
ACER2	XM_031938205.1	NC_045426.1	828	47.10	4.02857142857143	No	No	I
ACER3	XM_031961345.1	NC_045428.1	1143	52.84	5.30645161290323	Yes	No	UL
ACHE	XM_031965354.1	NC_045429.1	2130	55.45	3.85915492957746	No	No	UL
ACIN1	XM_031955034.1	NC_045427.1	3786	54.01	4.01382488479263	Yes	No	PI
ACKR1	XM_003767882.4	NC_045429.1	942	52.76	3.82142857142857	No	No	I
ACKR3	XM_031968249.1	NC_045429.1	1089	52.80	3.93220338983051	No	No	I
ACKR4	XM_023505154.2	NC_045430.1	1053	43.02	3.43181818181818	No	No	I
ACLY	XM_031966272.1	NC_045429.1	3306	51.51	3.81	Yes	No	PI
ACMSD	XM_003763816.3	NC_045428.1	1011	44.02	3.29166666666667	No	No	I
ACO1	XM_003761403.4	NC_045426.1	2670	43.07	3.43396226415094	No	No	I
ACOT11	XM_031969064.1	NC_045429.1	1803	58.79	4.25210084033613	Yes	No	PI
ACOT12	XM_003759887.3	NC_045426.1	1686	45.08	3.82089552238806	No	No	I
ACOT13	XM_003760129.4	NC_045426.1	585	48.89	4.75	No	No	UL
ACOT7	XM_031963725.1	NC_045428.1	1125	54.04	4.11594202898551	No	No	I
ACOT8	XM_031954575.1	NC_045427.1	1173	58.57	4.1063829787234	No	No	I
ACOXL	XM_031950986.1	NC_045427.1	1998	46.30	3.82417582417582	Yes	No	PI
ACP1	XM_012539912.2	NC_045427.1	477	36.90	3.33333333333333	No	No	I
ACP5	XM_031947593.1	NC_045426.1	996	50.00	3.74545454545455	No	No	I
ACP6	XM_003769885.4	NC_045429.1	1287	55.56	4.15189873417722	No	No	I
ACP7	XM_031963127.1	NC_045428.1	1314	59.06	4.19811320754717	Yes	No	PI
ACR	XM_031938640.1	NC_045430.1	1080	53.15	4.12698412698413	No	No	I
ACRBP	XM_031938274.1	NC_045430.1	1239	53.43	3.93827160493827	No	No	I
ACSBG1	XM_031956768.1	NC_045427.1	2211	54.23	4.18382352941176	No	No	I
ACSBG2	XM_031947767.1	NC_045426.1	2172	52.62	4.0763358778626	No	No	I
ACSL1	XM_031942125.1	NC_045431.1	2175	43.77	3.42857142857143	No	No	I
ACSL3	XM_003766146.4	NC_045428.1	2163	39.16	3.32835820895522	No	No	I
ACSL6	XM_031953094.1	NC_045427.1	2247	45.66	3.41666666666667	No	No	I
ACSM3	XM_023497413.2	NC_045426.1	2655	44.97	3.57391304347826	No	No	I
ACSS3	XM_031938566.1	NC_045430.1	2082	49.18	4.17647058823529	No	No	I
ACTA2	XM_031956988.1	NC_045427.1	1134	58.29	4.51351351351351	Yes	No	PI
ACTB	XM_003761554.4	NC_045426.1	1128	51.51	3.77966101694915	Yes	No	UL
ACTBL2	XM_003759378.2	NC_045426.1	1131	53.40	3.90277777777778	No	No	I
ACTC1	XM_003755971.3	NC_045427.1	1134	50.35	3.69642857142857	No	No	I
ACTL6B	XM_003768820.4	NC_045429.1	1281	52.77	3.8974358974359	No	No	I
ACTL7A	XM_003761833.4	NC_045426.1	1335	47.87	3.78787878787879	No	No	I
ACTL7B	XM_003761834.3	NC_045426.1	1257	52.19	3.8452380952381	No	No	I
ACTL9	XM_003761662.3	NC_045426.1	1257	58.87	4.10752688172043	No	No	I
ACTN1	XM_031952793.1	NC_045427.1	2745	49.69	3.77241379310345	No	No	I
ACTN4	XM_031963144.1	NC_045428.1	2796	54.04	4.07792207792208	No	No	I
ACTR10	XM_003756307.3	NC_045427.1	1254	42.98	3.73469387755102	No	No	I
ACTR1A	XM_003755417.4	NC_045427.1	1131	49.51	3.75	No	No	I
ACTR1B	XM_031951492.1	NC_045427.1	1131	49.78	3.90384615384615	Yes	No	I
ACTR2	XM_031950586.1	NC_045427.1	1197	41.69	3.45945945945946	No	No	I
ACTR3	XM_031959981.1	NC_045428.1	1257	41.77	3.625	No	No	I
ACTR6	XM_003771061.4	NC_045430.1	1191	37.36	3.61764705882353	No	No	I
ACTR8	XM_031952080.1	NC_045426.1	1449	61.21	4.60747663551402	No	No	I
ACTRT3	XM_003766820.3	NC_045428.1	1122	50.80	4.03225806451613	No	No	I
ACVR1	XM_003763877.4	NC_045428.1	1536	42.19	3.56	No	No	I
ACVR1B	XM_031937848.1	NC_045430.1	1515	49.57	4.17567567567568	Yes	No	I
ACVR2A	XM_003763845.4	NC_045428.1	1542	40.53	3.26415094339623	No	No	I
ACVR2B	XM_003762522.3	NC_045426.1	1536	52.86	3.83333333333333	No	No	I
ACVRL1	XM_012551490.3	NC_045430.1	1500	54.80	3.84313725490196	No	No	I
ACY1	XM_003762596.4	NC_045426.1	1239	56.66	3.86516853932584	Yes	No	PI
ACYP1	XM_031952506.1	NC_045427.1	354	48.02	3.65	No	No	I
ACYP2	XM_003758277.4	NC_045427.1	399	53.13	4.68	No	No	I
ADA	XM_012539777.3	NC_045427.1	1062	50.38	3.69491525423729	No	No	I
ADAM11	XM_031968651.1	NC_045429.1	2520	60.24	4.36458333333333	Yes	Yes	UL
ADAM12	XM_031957016.1	NC_045427.1	2796	59.23	4.45754716981132	Yes	No	PI
ADAM15	XM_023502267.2	NC_045429.1	2718	59.90	4.20379146919431	Yes	No	PI
ADAM19	XM_031953600.1	NC_045427.1	2787	52.13	3.93548387096774	No	No	I
ADAM22	XM_031939952.1	NC_045430.1	3054	45.42	3.66891891891892	No	No	I
ADAM23	XM_031958211.1	NC_045428.1	2517	46.17	3.80412371134021	No	No	I
ADAM28	XM_023495299.2	NC_045427.1	2277	44.14	3.57954545454545	No	No	I
ADAM30	XM_031968711.1	NC_045429.1	2226	48.43	3.78813559322034	No	Yes	L
ADAM33	XM_012552393.3	NC_045431.1	2802	62.21	4.36546184738956	Yes	No	PI
ADAMDEC1	XM_023495301.2	NC_045427.1	1485	44.11	3.82608695652174	No	No	I
ADAMTS1	XM_012544344.3	NC_045428.1	2826	44.55	3.61818181818182	No	No	I
ADAMTS10	XM_003760877.3	NC_045426.1	3342	59.93	4.36470588235294	Yes	No	PI
ADAMTS12	XM_031945878.1	NC_045426.1	4884	46.50	3.47619047619048	No	No	I
ADAMTS14	XM_031956822.1	NC_045427.1	3882	61.21	4.38795986622074	Yes	No	PI
ADAMTS16	XM_031946108.1	NC_045426.1	3687	43.12	3.4453781512605	No	No	I
ADAMTS17	XM_031955494.1	NC_045427.1	3459	48.54	3.85430463576159	Yes	No	PI
ADAMTS3	XM_012551960.3	NC_045431.1	3606	45.62	3.49659863945578	No	No	I
ADAMTS5	XM_003763373.3	NC_045428.1	2829	46.62	3.712	No	No	I
ADAMTS6	XM_031965568.1	NC_045426.1	3360	46.70	3.68493150684932	No	No	I
ADAMTS7	XM_031956764.1	NC_045427.1	5508	61.07	4.31627906976744	Yes	No	PI
ADAMTS8	XM_003775286.4	NC_045428.1	2718	57.80	4.24102564102564	No	No	I
ADAMTS9	XM_023498097.2	NC_045426.1	5817	50.73	3.81645569620253	No	No	I
ADAMTSL1	XM_031961469.1	NC_045426.1	5439	51.42	3.68135593220339	No	No	I
ADAMTSL2	XM_023494331.2	NC_045427.1	3075	53.72	3.70744680851064	Yes	No	I
ADAMTSL3	XM_023496553.2	NC_045427.1	5274	46.57	3.55411255411255	No	No	I
ADAMTSL5	XM_012542214.3	NC_045426.1	1503	59.35	4.05785123966942	Yes	No	PI
ADARB1	XM_031968335.1	NC_045429.1	2106	62.11	4.81437125748503	Yes	No	PI
ADAT1	XM_031950004.1	NC_045427.1	1551	50.55	3.5875	No	No	I
ADAT3	XM_023496847.2	NC_045426.1	1080	65.28	4.74725274725275	No	No	I
ADCK1	XM_031952433.1	NC_045427.1	1671	53.32	3.86138613861386	No	No	I
ADCK2	XM_012551072.3	NC_045430.1	1905	57.43	4.43410852713178	No	No	I
ADCK5	XM_023496654.2	NC_045426.1	1449	51.76	3.8974358974359	No	No	I
ADCY2	XM_031946113.1	NC_045426.1	3309	42.73	3.5982905982906	No	No	I
ADCY4	XM_003755902.4	NC_045427.1	3222	54.72	4	No	No	I
ADCY7	XM_031954462.1	NC_045427.1	3432	50.82	3.90804597701149	No	No	I
ADCY8	XM_031947204.1	NC_045426.1	3765	48.63	3.94943820224719	No	No	I
ADD1	XM_031941704.1	NC_045431.1	2403	45.19	3.52439024390244	No	No	I
ADD2	XM_031950662.1	NC_045427.1	2190	50.68	3.52542372881356	No	No	I
ADD3	XM_023495996.2	NC_045427.1	2136	43.26	3.484375	No	No	I
ADGB	XM_031937653.1	NC_045429.1	4968	37.88	3.53982300884956	No	No	I
ADGRA1	XM_031957074.1	NC_045427.1	3909	67.54	5.13662790697674	Yes	No	M
ADGRA2	XM_031950686.1	NC_045427.1	4011	62.75	4.73065015479876	No	No	I
ADGRB2	XM_031961518.1	NC_045428.1	4830	64.22	4.6304347826087	Yes	No	UL
ADGRB3	XM_003769193.3	NC_045429.1	4569	42.46	3.4	Yes	No	I
ADGRD1	XM_023496952.2	NC_045426.1	2697	47.76	3.5546218487395	No	No	I
ADGRF3	XM_031949265.1	NC_045427.1	2751	57.25	4.10362694300518	No	No	I
ADGRF4	XM_031964738.1	NC_045429.1	2097	44.11	3.54878048780488	No	No	I
ADGRF5	XM_023503025.2	NC_045429.1	4050	43.01	3.60431654676259	No	No	I
ADGRG1	XM_031949905.1	NC_045427.1	2190	51.87	3.71186440677966	No	No	I
ADGRG2	XM_031958902.1	NC_045428.1	3030	40.03	3.34567901234568	Yes	No	PI
ADGRG5	XM_012540691.3	NC_045427.1	1848	47.84	3.5421686746988	No	No	UL
ADGRL1	XM_031947702.1	NC_045426.1	4092	57.04	4.16206896551724	Yes	No	PI
ADGRL2	XM_031936760.1	NC_045429.1	4395	45.60	3.63350785340314	No	No	I
ADGRL3	XM_031942418.1	NC_045431.1	4488	45.94	3.64864864864865	No	No	I
ADGRL4	XM_023501736.2	NC_045429.1	2229	39.08	3.38709677419355	No	No	I
ADHFE1	XM_003759739.4	NC_045426.1	1596	47.31	3.88095238095238	No	No	UL
ADIPOQ	XM_003770183.3	NC_045429.1	891	58.14	4.67241379310345	No	No	UL
ADIPOR1	XM_031937156.1	NC_045429.1	1128	50.44	3.81818181818182	No	No	I
ADIRF	XM_031956249.1	NC_045427.1	231	54.98	3.64285714285714	No	No	I
ADK	XM_031949471.1	NC_045427.1	1089	43.99	3.52941176470588	No	No	I
ADM	XM_003773595.4	NC_045431.1	555	60.00	4.61363636363636	No	No	I
ADM2	XM_031938553.1	NC_045430.1	492	64.02	4.39130434782609	Yes	No	PI
ADNP	XM_031951630.1	NC_045427.1	3339	39.83	3.41237113402062	No	No	I
ADNP2	XM_003760121.4	NC_045426.1	3429	41.27	3.41176470588235	No	No	I
ADO	XM_031956898.1	NC_045427.1	846	75.77	7.15492957746479	Yes	No	M
ADORA1	XM_003767576.4	NC_045429.1	978	54.40	3.88888888888889	No	No	I
ADORA2B	XM_031967866.1	NC_045429.1	999	61.56	4.23170731707317	No	No	I
ADORA3	XM_012549582.3	NC_045429.1	969	46.13	3.38636363636364	No	No	I
ADPGK	XM_031956661.1	NC_045427.1	1482	54.39	4.59036144578313	No	No	I
ADPRH	XM_003766469.4	NC_045428.1	1086	47.70	3.71929824561404	No	No	I
ADPRM	XM_003770638.4	NC_045429.1	1047	39.45	3.31818181818182	No	No	I
ADPRS	XM_031961506.1	NC_045428.1	1650	64.42	4.81379310344828	Yes	No	PI
ADRA1A	XM_023495290.2	NC_045427.1	1398	55.15	3.85294117647059	No	No	I
ADRA2A	XM_003755383.3	NC_045427.1	1317	58.39	4.26262626262626	No	No	I
ADRA2B	XM_003758102.4	NC_045427.1	1317	56.87	4.19354838709677	No	No	I
ADRA2C	XM_031941625.1	NC_045431.1	1518	61.20	4.56779661016949	No	No	I
ADRB1	XM_031955878.1	NC_045427.1	1533	67.71	5.43181818181818	No	No	I
ADRB3	XM_023494713.2	NC_045427.1	1308	66.67	4.59848484848485	No	No	I
ADRM1	XM_012539648.3	NC_045427.1	1221	47.75	3.58490566037736	No	No	I
ADSS1	XM_031953139.1	NC_045427.1	1374	49.13	4.32307692307692	No	No	I
ADTRP	XM_023496340.2	NC_045426.1	696	43.25	3.3448275862069	No	No	I
AEN	XM_031955567.1	NC_045427.1	1077	56.55	4.19230769230769	No	No	I
AFAP1	XM_003773408.3	NC_045431.1	2457	46.24	3.62727272727273	No	No	I
AFAP1L1	XM_031953684.1	NC_045427.1	2328	49.18	3.78899082568807	No	No	UL
AFAP1L2	XM_031955883.1	NC_045427.1	2880	49.58	3.86363636363636	No	No	I
AFF1	XM_031944200.1	NC_045431.1	3654	43.92	3.51968503937008	No	No	I
AFF2	XM_031945002.1	NC_045432.1	4035	48.15	3.67980295566502	No	No	I
AFF3	XM_031963628.1	NC_045428.1	4026	53.85	4.76279069767442	Yes	No	PI
AFG1L	XM_031964455.1	NC_045429.1	1458	43.69	4.1875	No	No	I
AGA	XM_003773055.4	NC_045431.1	1035	43.77	3.61764705882353	No	No	I
AGAP1	XM_031968792.1	NC_045429.1	3888	62.83	4.96321070234114	Yes	No	PI
AGAP2	XM_031941062.1	NC_045430.1	3504	60.25	4.44194756554307	Yes	No	PI
AGAP3	XM_031939431.1	NC_045430.1	1782	65.26	4.76582278481013	Yes	No	PI
AGBL3	XM_031939101.1	NC_045430.1	2739	42.31	3.7093023255814	No	No	I
AGBL5	XM_031951372.1	NC_045427.1	2844	55.41	4.21739130434783	Yes	No	PI
AGER	XM_031965107.1	NC_045429.1	1320	51.67	3.65789473684211	No	No	UL
AGFG2	XM_031965305.1	NC_045429.1	1437	53.10	3.71428571428571	No	No	I
AGL	XM_031967133.1	NC_045429.1	4602	39.44	3.41732283464567	No	No	I
AGMAT	XM_003765080.3	NC_045428.1	1173	55.33	3.96296296296296	No	No	I
AGMO	XM_003772131.4	NC_045430.1	1344	45.54	3.56603773584906	No	No	I
AGO1	XM_003765340.4	NC_045428.1	2574	52.60	3.79487179487179	Yes	No	I
AGO2	XM_023496518.2	NC_045426.1	2589	44.61	3.47321428571429	Yes	No	I
AGO3	XM_031962138.1	NC_045428.1	2586	45.20	3.52475247524752	No	No	I
AGO4	XM_031962133.1	NC_045428.1	2586	45.94	3.51724137931034	No	No	I
AGPAT1	XM_012548942.2	NC_045429.1	864	55.21	3.94736842105263	No	No	I
AGPAT2	XM_031954940.1	NC_045427.1	834	48.44	3.64285714285714	No	No	I
AGPAT4	XM_003769595.4	NC_045429.1	1134	46.56	3.73469387755102	No	No	I
AGPAT5	XM_031951137.1	NC_045427.1	1224	42.40	3.70588235294118	No	No	I
AGPS	XM_031960414.1	NC_045428.1	1959	44.72	4.45205479452055	No	No	I
AGRN	XM_031961579.1	NC_045428.1	6219	65.20	4.80225988700565	Yes	No	UL
AGRP	XM_012540312.3	NC_045427.1	444	62.61	4.42105263157895	No	No	I
AGT	XM_031966890.1	NC_045429.1	1398	46.64	3.40677966101695	No	No	I
AGTPBP1	XM_031945449.1	NC_045426.1	3675	38.04	3.38709677419355	No	No	I
AGTR1	XM_023500762.2	NC_045428.1	1080	45.00	3.85454545454545	No	No	I
AGTR2	XM_003774923.4	NC_045432.1	1152	54.51	4.08974358974359	No	No	I
AGTRAP	XM_031962854.1	NC_045428.1	486	58.64	4.19512195121951	No	No	I
AGXT	XM_012546661.3	NC_045428.1	1278	53.05	3.69620253164557	Yes	No	PI
AHCYL1	XM_031967236.1	NC_045429.1	1698	49.94	3.83333333333333	No	No	I
AHDC1	XM_031961524.1	NC_045428.1	3705	73.39	6.08732394366197	Yes	No	M
AHNAK	XM_031943386.1	NC_045431.1	18168	54.29	4.57298277425204	Yes	No	M
AHNAK2	XM_031953124.1	NC_045427.1	15981	48.39	3.68467336683417	Yes	No	L
AHR	XM_031940685.1	NC_045430.1	3231	59.76	4.57142857142857	Yes	No	PI
AHRR	XM_031946073.1	NC_045426.1	2217	43.03	3.41463414634146	No	No	I
AHSA1	XM_003756207.4	NC_045427.1	1248	52.32	4.01333333333333	Yes	No	PI
AHSG	XM_023500872.2	NC_045428.1	1107	59.08	4.34146341463415	No	No	I
AHSP	XM_003761332.4	NC_045426.1	279	42.65	3.14285714285714	No	No	I
AICDA	XM_023504525.2	NC_045430.1	597	45.23	3.36	No	No	I
AIDA	XM_031967082.1	NC_045429.1	1107	47.97	5.35	No	No	I
AIF1	XM_003775312.4	NC_045429.1	288	43.06	3.90909090909091	Yes	No	L
AIF1L	XM_003757408.4	NC_045427.1	465	47.53	3.85714285714286	Yes	No	I
AIFM2	XM_031956834.1	NC_045427.1	1002	57.88	4.35211267605634	Yes	No	PI
AIG1	XM_031964185.1	NC_045429.1	798	47.49	3.75	Yes	No	PI
AIMP1	XM_012552996.3	NC_045431.1	993	42.40	3.46666666666667	No	Yes	I
AIMP2	XM_012542772.3	NC_045426.1	966	43.58	3.72222222222222	No	No	I
AIPL1	XM_031957292.1	NC_045428.1	384	51.30	3.90909090909091	Yes	No	PM
AIRE	XM_031968564.1	NC_045429.1	1908	60.53	4.55244755244755	Yes	No	L
AJAP1	XM_031962957.1	NC_045428.1	1212	46.37	3.60714285714286	Yes	No	I
AJM1	XM_031951983.1	NC_045427.1	3003	67.17	5.18149466192171	Yes	No	M
AK1	XM_003757314.4	NC_045427.1	630	47.62	3.55882352941176	No	No	I
AK2	XM_031962307.1	NC_045428.1	732	54.92	4.55555555555556	No	No	I
AK3	XM_003762128.4	NC_045426.1	687	46.58	4.44827586206897	No	No	I
AK4	XM_031968967.1	NC_045429.1	990	58.89	4.42857142857143	Yes	No	PI
AK7	XM_031953296.1	NC_045427.1	2181	37.83	3.28846153846154	No	No	I
AK8	XM_031954897.1	NC_045427.1	1443	42.55	3.43859649122807	No	No	I
AKAIN1	XM_031946597.1	NC_045426.1	210	45.71	3.16666666666667	No	No	I
AKAP10	XM_031967824.1	NC_045429.1	1986	45.47	4.07792207792208	No	No	I
AKAP11	XM_031958426.1	NC_045428.1	5883	37.29	3.23684210526316	No	No	I
AKAP12	XM_023503270.2	NC_045429.1	5055	39.80	3.66363636363636	No	No	I
AKAP13	XM_031955550.1	NC_045427.1	8598	45.07	3.546875	No	No	I
AKAP14	XM_023506917.2	NC_045432.1	501	45.31	3.7	No	No	I
AKAP3	XM_023504600.2	NC_045430.1	2652	49.13	3.796875	Yes	No	M
AKAP5	XM_003756352.3	NC_045427.1	1350	41.70	3.47619047619048	No	No	I
AKAP6	XM_031952248.1	NC_045427.1	6927	47.37	3.65079365079365	Yes	No	PI
AKAP8	XM_003760964.2	NC_045426.1	2091	45.82	3.69620253164557	No	No	I
AKAP8L	XM_012542362.3	NC_045426.1	2232	48.34	3.83928571428571	No	No	I
AKIP1	XM_023506257.2	NC_045431.1	1905	54.17	4.40625	Yes	No	PI
AKNAD1	XM_023503430.2	NC_045429.1	2757	38.41	3.28985507246377	No	No	I
AKR1A1	XM_003767181.4	NC_045429.1	975	60.92	4.29333333333333	Yes	Yes	PI
AKT1	XM_031953137.1	NC_045427.1	1443	50.59	3.90540540540541	No	No	I
AKT1S1	XM_031963396.1	NC_045428.1	909	69.64	5.35294117647059	Yes	No	M
AKTIP	XM_023494201.2	NC_045427.1	960	42.08	3.47222222222222	No	No	UL
ALAD	XM_003757307.4	NC_045427.1	993	54.58	3.79710144927536	No	No	I
ALAS1	XM_031958209.1	NC_045426.1	1920	47.66	3.88888888888889	No	No	I
ALCAM	XM_031959617.1	NC_045428.1	1836	39.65	3.44230769230769	No	No	I
ALDH2	XM_031948603.1	NC_045426.1	1554	60.10	4.47863247863248	Yes	No	PI
ALDH3A1	XM_012549885.2	NC_045429.1	1362	52.20	3.8625	No	No	I
ALDH4A1	XM_031962746.1	NC_045428.1	1689	57.55	4.18548387096774	Yes	No	I
ALDH6A1	XM_023502137.2	NC_045427.1	1611	46.18	3.50617283950617	No	No	I
ALDH8A1	XM_003769469.4	NC_045429.1	1464	44.33	3.70175438596491	No	No	I
ALDOA	XM_031963336.1	NC_045426.1	1095	50.96	3.65151515151515	No	No	I
ALG12	XM_031939487.1	NC_045430.1	1470	59.18	4.45283018867925	No	No	I
ALG14	XM_031967115.1	NC_045429.1	642	45.79	3.88	No	No	I
ALG2	XM_023497695.2	NC_045426.1	1245	46.75	4.5	No	No	I
ALG3	XM_023503837.2	NC_045429.1	1329	64.11	4.57017543859649	Yes	No	PI
ALG6	XM_031968983.1	NC_045429.1	1530	47.84	3.83116883116883	Yes	No	PI
ALG9	XM_003764227.4	NC_045428.1	1860	44.68	3.74285714285714	No	No	I
ALK	XM_031951322.1	NC_045427.1	2025	54.77	3.75	No	No	I
ALKAL1	XM_023496020.2	NC_045426.1	555	51.71	3.76470588235294	No	No	I
ALKAL2	XM_003757908.3	NC_045427.1	459	42.05	3.66666666666667	No	No	I
