# klumpy scan_alignments --alignment_map Monodelphis_domestica.merge.sorted.bam --threads 16
Region_Number	Reference_Seq	Start	End	Number_of_Groups
71	NC_077232.1	50350000	50425000	3,4
72	NC_077232.1	52950000	53025000	1,2
73	NC_077232.1	57825000	57900000	1,2
74	NC_077232.1	58950000	59050000	2,3,3
75	NC_077232.1	59975000	60050000	2,2
76	NC_077232.1	61400000	61500000	2,4,2
77	NC_077232.1	61600000	61675000	6,2
78	NC_077232.1	66725000	66800000	3,2
79	NC_077232.1	69950000	70025000	4,5
80	NC_077232.1	72325000	72400000	3,1
81	NC_077232.1	73275000	73350000	3,2
82	NC_077232.1	75100000	75175000	4,5
83	NC_077232.1	75400000	75525000	1,2,3
84	NC_077232.1	75750000	75825000	1,2
85	NC_077232.1	77675000	77750000	2,2
86	NC_077232.1	78250000	78425000	2,4,2,2,3,1
87	NC_077232.1	78475000	78850000	1,2,2,2,2,4,2,2,1,2,2
88	NC_077232.1	80225000	80300000	5,4
89	NC_077232.1	82375000	82450000	2,2
90	NC_077232.1	83225000	83300000	1,2
91	NC_077232.1	85925000	86000000	2,2
92	NC_077232.1	86950000	87025000	4,4
93	NC_077232.1	88700000	88775000	2,5
94	NC_077232.1	95550000	95625000	1,2
95	NC_077232.1	97450000	97525000	2,1
96	NC_077232.1	97825000	97925000	1,2,1
97	NC_077232.1	98650000	98750000	3,2,1
98	NC_077232.1	106225000	106300000	4,4
99	NC_077232.1	106875000	106950000	3,4
100	NC_077232.1	108775000	108850000	5,2
101	NC_077232.1	110325000	110400000	2,1
102	NC_077232.1	111925000	112000000	2,2
103	NC_077232.1	125500000	125575000	2,2
104	NC_077232.1	126275000	126350000	5,1
105	NC_077232.1	128075000	128175000	4,4,1
106	NC_077232.1	128425000	128500000	1,2
107	NC_077232.1	141500000	141575000	3,3
108	NC_077232.1	148200000	148275000	5,3
109	NC_077232.1	171900000	171975000	2,2
110	NC_077232.1	172825000	172900000	3,2
111	NC_077232.1	173200000	173275000	1,2
112	NC_077232.1	175725000	175800000	1,2
113	NC_077232.1	177175000	177250000	2,3
114	NC_077232.1	179200000	179275000	3,2
115	NC_077232.1	179625000	179700000	6,7
116	NC_077232.1	181175000	181275000	1,3,3
117	NC_077232.1	182625000	182725000	2,2,1
118	NC_077232.1	182775000	182850000	2,2
119	NC_077232.1	184850000	184900000	1
120	NC_077232.1	184925000	185000000	1,2
121	NC_077232.1	185075000	185150000	2,3
122	NC_077232.1	186350000	186425000	2,3
123	NC_077232.1	188125000	188200000	5,5
124	NC_077232.1	191875000	191950000	2,3
125	NC_077232.1	195325000	195425000	1,2,2
126	NC_077232.1	203450000	203525000	4,3
127	NC_077232.1	204075000	204150000	2,2
128	NC_077232.1	205000000	205075000	2,2
129	NC_077232.1	210175000	210250000	3,4
130	NC_077232.1	216300000	216375000	3,3
131	NC_077232.1	217125000	217200000	3,3
132	NC_077232.1	219825000	219900000	3,3
133	NC_077232.1	221725000	221800000	3,4
134	NC_077232.1	229225000	229300000	2,2
135	NC_077232.1	231850000	231975000	2,2,3,3
136	NC_077232.1	232200000	232275000	2,5
137	NC_077232.1	234550000	234625000	3,2
138	NC_077232.1	235725000	235850000	2,2,2,2
139	NC_077232.1	247025000	247100000	3,2
140	NC_077232.1	248000000	248075000	1,2
141	NC_077232.1	248700000	248775000	5,4
142	NC_077232.1	248800000	248900000	2,3,1
143	NC_077232.1	249400000	249475000	3,1
144	NC_077232.1	249625000	249725000	1,2,1
145	NC_077232.1	250275000	250375000	1,1,1
146	NC_077232.1	252000000	252100000	1,2,2
147	NC_077232.1	257875000	257950000	4,4
148	NC_077232.1	261225000	261300000	2,2
149	NC_077232.1	263000000	263075000	2,1
150	NC_077232.1	264675000	264750000	4,4
151	NC_077232.1	265600000	265675000	3,3
152	NC_077232.1	266600000	266675000	1,3
153	NC_077232.1	275175000	275250000	7,8
154	NC_077232.1	285275000	285350000	3,2
155	NC_077232.1	291975000	292050000	2,3
156	NC_077232.1	300000000	300075000	2,2
157	NC_077232.1	303600000	303675000	3,2
158	NC_077232.1	303825000	303975000	2,3,1,2,2
159	NC_077232.1	306475000	306575000	1,2,1
160	NC_077232.1	308225000	308300000	2,2
161	NC_077232.1	310425000	310500000	4,8
