Gene_name	TranscriptID	Chromosome	Transcript_length	GC_Content	GC_Stretch	Missing_exon	Deleted_exon	TOGA_status
FBXO15	XM_031946702.1	NC_045426.1	1473	39.92	3.43589743589744	No	No	I
NPR3	XM_031945880.1	NC_045426.1	1605	49.78	3.96341463414634	No	No	I
IKZF1	XM_023498277.2	NC_045426.1	1536	50.85	4.09638554216868	No	No	I
SLC9A3	XM_031946075.1	NC_045426.1	2520	45.75	3.59615384615385	No	No	I
MPHOSPH9	XM_023497058.2	NC_045426.1	3594	37.70	3.46835443037975	No	No	I
ZNF358	XM_031948352.1	NC_045426.1	2067	57.76	4.07284768211921	Yes	No	M
TEDC2	XM_031962367.1	NC_045426.1	1692	58.69	4.3	Yes	No	PI
DMRT1	XM_031943929.1	NC_045426.1	1116	56.27	4.54666666666667	No	No	I
BRI3	XM_031941666.1	NC_045426.1	429	56.18	5.24	No	No	I
GATA6	XM_031946541.1	NC_045426.1	1776	60.53	4.71111111111111	No	No	I
TGFBR3L	XM_031948323.1	NC_045426.1	966	63.04	4.41463414634146	Yes	No	M
SGF29	XM_031963238.1	NC_045426.1	882	48.64	3.89189189189189	No	No	I
PLK5	XM_031948069.1	NC_045426.1	1875	63.04	4.45061728395062	Yes	No	I
GRB10	XM_031957209.1	NC_045426.1	1614	44.86	3.43548387096774	No	No	I
CDC14B	XM_031937692.1	NC_045426.1	1464	39.21	3.40425531914894	No	No	I
AMH	XM_031948104.1	NC_045426.1	1875	70.93	5.48275862068965	Yes	No	M
CPNE9	XM_031954705.1	NC_045426.1	1449	51.35	3.78823529411765	Yes	No	I
EXT1	XM_003760340.4	NC_045426.1	2241	46.41	3.56880733944954	No	No	I
INKA1	XM_031959075.1	NC_045426.1	843	70.11	5.43037974683544	No	No	I
TXNRD3	XM_031956133.1	NC_045426.1	1542	42.54	3.74074074074074	No	No	I
PRKACA	XM_003760659.4	NC_045426.1	1395	55.34	4.69318181818182	Yes	No	PI
PTPN11	XM_031948618.1	NC_045426.1	1812	45.25	3.83783783783784	Yes	No	I
NMRK2	XM_003760588.2	NC_045426.1	603	46.77	3.74074074074074	Yes	No	I
LOC100926719	XM_031947354.1	NC_045426.1	1587	54.32	3.95789473684211	No	No	I
LOC111719184	XM_031947865.1	NC_045426.1	2088	41.81	3.453125	No	No	I
TEX264	XM_031958518.1	NC_045426.1	945	62.75	4.46753246753247	Yes	No	PI
C1H7orf25	XM_031951779.1	NC_045426.1	1269	61.94	4.54081632653061	No	No	I
DNAJC5B	XM_031946337.1	NC_045426.1	588	46.43	3.73076923076923	No	No	I
ANTKMT	XM_031945727.1	NC_045426.1	555	52.07	3.53846153846154	No	No	I
TOM1L2	XM_031938484.1	NC_045426.1	1590	47.23	3.55882352941176	No	No	I
AP3S1	XM_031938692.1	NC_045426.1	489	39.47	3.63636363636364	No	No	I
PTPRG	XM_023498087.2	NC_045426.1	4245	49.09	3.80630630630631	No	No	I
MLLT1	XM_031947764.1	NC_045426.1	1584	49.81	3.87671232876712	No	Yes	I
BDP1	XM_031966806.1	NC_045426.1	7644	41.35	3.82673267326733	No	No	UL
HS3ST4	XM_003762114.3	NC_045426.1	1374	59.17	4.6504854368932	Yes	No	M
LOC116422812	XM_031962547.1	NC_045426.1	1422	69.27	5.33812949640288	No	No	L
UBE2I	XM_031945756.1	NC_045426.1	477	40.88	3.11764705882353	No	No	I
LOC105749017	XM_031947340.1	NC_045426.1	1803	40.38	3.35416666666667	No	No	UL
NSMAF	XM_031946373.1	NC_045426.1	2772	39.14	3.56923076923077	No	No	I
EPS15L1	XM_031947960.1	NC_045426.1	2391	42.83	3.47252747252747	No	No	I
OSGIN2	XM_031946958.1	NC_045426.1	1650	39.70	3.44444444444444	No	No	I
MPLKIP	XM_031951840.1	NC_045426.1	468	64.32	6.96969696969697	Yes	No	M
LOC100915610	XM_031946076.1	NC_045426.1	1560	41.60	3.625	Yes	No	UL
TMEM238	XM_031944287.1	NC_045426.1	1005	56.32	4.56521739130435	No	No	I
GRIN3B	XM_031948016.1	NC_045426.1	2871	67.54	4.96108949416342	Yes	No	PI
PFKFB4	XM_031961156.1	NC_045426.1	1410	48.09	3.95161290322581	Yes	No	I
PEMT	XM_031938367.1	NC_045426.1	600	45.67	3.53571428571429	No	No	I
PRRT3	XM_031954905.1	NC_045426.1	3597	64.41	4.95593220338983	No	No	I
FAM220A	XM_023497438.2	NC_045426.1	207	60.39	5.28571428571429	No	No	I
PDP1	XM_003760248.4	NC_045426.1	1983	53.66	4.26984126984127	Yes	No	PI
DENR	XM_012542449.3	NC_045426.1	597	42.21	3.38888888888889	No	No	I
RBFOX1	XM_031951543.1	NC_045426.1	1275	51.06	3.79268292682927	Yes	No	PI
UFD1	XM_031948980.1	NC_045426.1	909	48.73	3.97777777777778	Yes	No	PI
CTXN1	XM_031948288.1	NC_045426.1	264	66.67	4.77272727272727	No	No	I
SMG1	XM_031942760.1	NC_045426.1	10980	40.83	3.45364238410596	No	No	I
IP6K2	XM_031959633.1	NC_045426.1	1275	46.27	3.53333333333333	No	No	I
ZNF236	XM_031946717.1	NC_045426.1	5775	40.92	3.375	No	No	I
GLIPR2	XM_031937286.1	NC_045426.1	1668	56.18	4.48623853211009	No	No	I
RILPL1	XM_031948449.1	NC_045426.1	1227	59.66	4.4125	Yes	No	PI
BSG	XM_031948270.1	NC_045426.1	1173	49.36	4.26785714285714	No	No	I
ARF1	XM_031960350.1	NC_045426.1	546	42.86	3.61111111111111	Yes	No	PI
PPM1M	XM_031958146.1	NC_045426.1	1458	58.71	5.27272727272727	Yes	No	PI
SHLD3	XM_031965683.1	NC_045426.1	753	34.93	3.8	No	No	I
MRPL34	XM_031947998.1	NC_045426.1	399	56.64	3.96296296296296	No	No	I
IP6K1	XM_031959116.1	NC_045426.1	1314	57.31	4.32954545454545	No	No	I
HCN1	XM_031964829.1	NC_045426.1	2697	48.16	4.08403361344538	No	No	I
C9	XM_003759932.3	NC_045426.1	1782	39.84	3.33333333333333	No	No	I
MROH1	XM_031947381.1	NC_045426.1	4923	48.87	3.78947368421053	Yes	No	PI
UBC	XM_031948421.1	NC_045426.1	1374	49.85	3.70967741935484	Yes	No	M
C1H5orf51	XM_012541421.3	NC_045426.1	891	40.52	4.14285714285714	No	No	I
TJP2	XM_031943537.1	NC_045426.1	3429	43.37	3.62790697674419	No	No	I
RBM12B	XM_031946981.1	NC_045426.1	2238	40.35	3.78571428571429	No	No	I
BHLHE22	XM_031946353.1	NC_045426.1	1191	67.09	5.19587628865979	Yes	No	PI
BCL7A	XM_031948528.1	NC_045426.1	741	54.79	4.11538461538461	Yes	No	PI
LDLR	XM_031947557.1	NC_045426.1	2583	48.63	3.78448275862069	No	No	I
NSMAF	XM_031946372.1	NC_045426.1	2817	39.51	3.56521739130435	No	No	I
AMT	XM_031959207.1	NC_045426.1	1323	54.35	3.82417582417582	No	No	UL
SLMAP	XM_031953162.1	NC_045426.1	2250	46.67	3.8	No	No	I
HRK	XM_031948663.1	NC_045426.1	294	78.91	7.6	No	No	I
FOXD1	XM_031966595.1	NC_045426.1	1548	72.67	6.45454545454545	Yes	No	M
TCF4	XM_023496181.2	NC_045426.1	1536	48.11	3.57142857142857	No	No	I
GGT6	XM_012543040.2	NC_045426.1	1635	61.96	4.15671641791045	No	No	I
NAA80	XM_031958880.1	NC_045426.1	759	61.66	4.26153846153846	Yes	No	M
NUDT12	XM_003759347.3	NC_045426.1	1386	39.11	3.40540540540541	No	No	I
TGFB1I1	XM_031937451.1	NC_045426.1	1446	59.20	4.25217391304348	No	No	UL
EGFLAM	XM_023496127.2	NC_045426.1	3045	45.81	3.55970149253731	No	No	I
ZDHHC21	XM_031946877.1	NC_045426.1	843	39.26	3.18181818181818	No	No	UL
RPL7	XM_031946265.1	NC_045426.1	777	42.21	3.72727272727273	No	No	I
LOC100925246	XM_031949096.1	NC_045426.1	1398	50.29	3.8974358974359	Yes	No	M
PRR22	XM_012542039.3	NC_045426.1	1407	65.81	5.19166666666667	Yes	No	M
C1H16orf54	XM_031963755.1	NC_045426.1	714	60.08	4.30357142857143	No	No	I
HRH1	XM_031955226.1	NC_045426.1	1455	49.21	3.52564102564103	No	No	I
PPP4C	XM_003762073.3	NC_045426.1	924	54.76	4.01754385964912	No	No	I
SUGP2	XM_031948158.1	NC_045426.1	3336	45.89	3.8	No	No	I
SLMAP	XM_031953172.1	NC_045426.1	2169	46.80	3.80722891566265	No	No	I
SDSL	XM_003761122.4	NC_045426.1	999	56.26	3.81578947368421	No	No	I
PITPNM2	XM_031948474.1	NC_045426.1	4137	61.78	4.54517133956386	Yes	No	M
KLF15	XM_023498224.2	NC_045426.1	1197	59.06	4.125	No	No	I
RFXANK	XM_031947905.1	NC_045426.1	777	60.62	4.2	No	No	I
NAPG	XM_031946646.1	NC_045426.1	843	41.87	3.55172413793103	No	No	I
SHISA9	XM_031944414.1	NC_045426.1	1254	56.14	4.30952380952381	No	No	I
PDP1	XM_031946994.1	NC_045426.1	1611	51.40	3.98947368421053	No	No	I
NAA35	XM_031945446.1	NC_045426.1	2184	39.29	3.34	No	No	I
CCDC63	XM_003761018.3	NC_045426.1	1656	42.57	3.6	No	No	I
LOC100928262	XM_031947759.1	NC_045426.1	1941	47.50	3.84444444444444	No	No	I
FSBP	XM_003760250.4	NC_045426.1	897	39.13	3.47368421052632	No	No	I
LOC116419525	XM_031940220.1	NC_045426.1	1155	61.04	4.44086021505376	Yes	No	PI
ZBED3	XM_031966241.1	NC_045426.1	744	78.49	6.75714285714286	No	No	I
PPP4R2	XM_031954026.1	NC_045426.1	1257	43.20	3.54545454545455	Yes	No	I
GLIPR2	XM_031937296.1	NC_045426.1	1455	58.01	4.56565656565657	No	No	I
KBTBD12	XM_003762486.3	NC_045426.1	1869	43.23	3.44047619047619	No	No	I
PITPNB	XM_031948826.1	NC_045426.1	600	41.00	3.44444444444444	No	No	I
FOXL3	XM_012542788.2	NC_045426.1	753	42.90	3.47058823529412	No	No	I
FBXL6	XM_012541986.3	NC_045426.1	1692	55.79	4.10204081632653	No	No	I
PRUNE2	XM_031945512.1	NC_045426.1	9324	41.23	3.37931034482759	No	No	I
ZG16	XM_031963740.1	NC_045426.1	498	54.02	3.97142857142857	No	No	I
LOC105749442	XM_031948533.1	NC_045426.1	1203	64.01	4.85849056603774	Yes	No	UL
GDF1	XM_031948176.1	NC_045426.1	1137	66.67	4.73333333333333	Yes	No	M
GNG7	XM_031948083.1	NC_045426.1	207	53.14	3.53846153846154	No	No	I
C1H22orf31	XM_023498624.2	NC_045426.1	909	58.09	4.44117647058824	No	No	I
CCZ1	XM_003761463.4	NC_045426.1	1425	38.18	4.125	No	No	I
PTCH1	XM_031937700.1	NC_045426.1	4476	47.79	3.76818181818182	No	No	I
CSMD3	XM_031954893.1	NC_045426.1	11124	41.41	3.43887147335423	Yes	No	PI
DTNBP1	XM_031946827.1	NC_045426.1	798	45.99	3.96153846153846	Yes	No	PI
RASAL3	XM_023496986.2	NC_045426.1	2991	59.71	4.03252032520325	No	No	I
CELSR3	XM_031959688.1	NC_045426.1	8139	60.51	4.48746081504702	Yes	No	PI
NOL4	XM_031946460.1	NC_045426.1	1911	46.47	3.63013698630137	No	No	I
RBM12B	XM_031946985.1	NC_045426.1	2238	40.35	3.78571428571429	No	No	I
SETD5	XM_023498153.2	NC_045426.1	4491	50.10	3.75431034482759	No	No	I
NR2F1	XM_003759842.4	NC_045426.1	1251	60.27	4.68367346938776	No	No	I
CLIP1	XM_031948500.1	NC_045426.1	6582	41.83	3.53714285714286	No	No	I
LRRFIP2	XM_031952543.1	NC_045426.1	2058	56.03	4.18248175182482	Yes	Yes	PI
CABYR	XM_003759999.4	NC_045426.1	1230	46.50	3.93877551020408	No	No	I
ZNF646	XM_031939812.1	NC_045426.1	5556	49.01	3.58990536277603	No	No	I
FAM222A	XM_031948786.1	NC_045426.1	1482	72.06	6.10769230769231	Yes	No	M
FYB1	XM_012541436.3	NC_045426.1	2529	44.37	3.59	Yes	No	I
SIRT4	XM_031948716.1	NC_045426.1	909	57.98	4.25757575757576	No	No	I
KLF10	XM_031947068.1	NC_045426.1	1449	52.24	4.09090909090909	Yes	No	I
GNG7	XM_031948081.1	NC_045426.1	207	53.14	3.53846153846154	No	No	I
RUNX1T1	XM_012541702.2	NC_045426.1	1866	50.05	3.58947368421053	No	No	I
LOC100925754	XM_031968135.1	NC_045426.1	1461	41.20	3.56818181818182	No	No	I
ARMC6	XM_003760784.4	NC_045426.1	1404	55.48	3.8469387755102	No	No	I
PIGO	XM_023497648.2	NC_045426.1	3246	55.51	3.83870967741935	No	No	I
MITF	XM_031953888.1	NC_045426.1	1611	50.84	3.82417582417582	No	No	I
PIP5K1C	XM_031947870.1	NC_045426.1	2259	50.51	3.94782608695652	Yes	No	I
CNBP	XM_031956528.1	NC_045426.1	537	52.33	4	No	No	I
GKAP1	XM_003761813.4	NC_045426.1	1110	37.75	3.125	No	No	I
ABTB1	XM_003762485.4	NC_045426.1	1437	56.78	3.93617021276596	No	No	I
TAOK3	XM_031948693.1	NC_045426.1	1317	52.32	3.95238095238095	No	No	I
ADTRP	XM_023496340.2	NC_045426.1	696	43.25	3.3448275862069	No	No	I
TNS3	XM_031957262.1	NC_045426.1	4584	46.99	3.55	No	No	I
DTNBP1	XM_031946826.1	NC_045426.1	798	45.99	3.96153846153846	Yes	No	PI
TFAP4	XM_031945607.1	NC_045426.1	1017	57.03	3.92537313432836	Yes	No	PI
ZNF367	XM_031937695.1	NC_045426.1	1083	54.02	4.640625	No	No	I
LOC105749591	XM_031955586.1	NC_045426.1	1458	46.36	3.52307692307692	No	No	I
PKN1	XM_031947703.1	NC_045426.1	2874	58.98	4.23923444976077	No	No	I
TTC21A	XM_031952415.1	NC_045426.1	3942	56.19	4.29795918367347	Yes	No	PI
LOC100918000	XM_012541158.3	NC_045426.1	555	44.68	4	No	No	I
ZNF516	XM_023496291.2	NC_045426.1	3516	47.53	3.66071428571429	No	No	I
EEFSEC	XM_031956355.1	NC_045426.1	1440	48.40	3.78461538461538	Yes	No	PI
NKD2	XM_012541190.3	NC_045426.1	1356	49.63	3.80882352941176	No	No	I
PRR36	XM_031948327.1	NC_045426.1	3915	59.26	4.05993690851735	Yes	No	M
HSD3B7	XM_023497536.2	NC_045426.1	1113	55.80	4	No	No	I
CORO1A	XM_003762078.3	NC_045426.1	1386	54.76	3.77777777777778	No	No	I
CDIP1	XM_031945291.1	NC_045426.1	609	55.67	3.95121951219512	No	No	I
RASGRF2	XM_003759877.2	NC_045426.1	3597	44.01	3.89147286821705	No	No	I
FYB1	XM_031964369.1	NC_045426.1	2589	44.73	3.61165048543689	Yes	No	I
C1H3orf62	XM_031959277.1	NC_045426.1	789	41.32	3.45	Yes	No	I
CPNE9	XM_031954691.1	NC_045426.1	1545	52.56	3.93548387096774	Yes	No	I
MYH11	XM_031944231.1	NC_045426.1	5826	47.03	3.70168067226891	No	No	I
MAST1	XM_031947634.1	NC_045426.1	4761	60.95	4.35040431266846	Yes	No	PI
RNF19A	XM_012541749.3	NC_045426.1	2454	42.30	3.41025641025641	No	No	I
CLPTM1L	XM_003759584.4	NC_045426.1	1617	39.89	3.57142857142857	No	No	I
SSBP2	XM_031967105.1	NC_045426.1	1068	47.47	3.52272727272727	No	Yes	I
ACO1	XM_003761403.4	NC_045426.1	2670	43.07	3.43396226415094	No	No	I
KIAA0825	XM_031949211.1	NC_045426.1	2259	37.32	3.45	No	No	I
LOC100934839	XM_023495892.2	NC_045426.1	1365	42.56	3.45833333333333	No	No	I
LOC100934578	XM_003759862.3	NC_045426.1	1344	44.49	3.72916666666667	No	No	I
CLIP1	XM_031948499.1	NC_045426.1	6585	41.84	3.53714285714286	No	No	I
IFT74	XM_031943347.1	NC_045426.1	1803	36.77	3.48387096774194	No	No	I
CCDC62	XM_031948485.1	NC_045426.1	1689	42.87	3.76363636363636	No	No	I
FCHO2	XM_031966659.1	NC_045426.1	2484	39.90	3.44827586206897	No	No	I
ACP5	XM_031947594.1	NC_045426.1	996	50.00	3.74545454545455	No	No	I
TLR9	XM_031958203.1	NC_045426.1	3183	63.12	4.61216730038023	No	No	I
CREB3L3	XM_003760591.3	NC_045426.1	1398	55.01	4.07228915662651	No	No	I
SPAG1	XM_031947053.1	NC_045426.1	3024	41.93	3.76699029126214	No	No	I
LOC100918704	XM_012542906.3	NC_045426.1	1533	44.16	3.66101694915254	No	No	I
SLC10A5	XM_003759686.4	NC_045426.1	1308	36.70	3.43589743589744	No	No	I
LOC111719547	XM_031960725.1	NC_045426.1	594	60.44	4.14545454545455	No	No	I
PLVAP	XM_003760851.4	NC_045426.1	1320	59.17	4.39759036144578	No	No	I
PPP1R16A	XM_031947357.1	NC_045426.1	1731	59.97	4.30708661417323	Yes	No	PI
LIX1	XM_003759485.3	NC_045426.1	849	45.35	3.47058823529412	No	No	I
KCTD13	XM_003762088.4	NC_045426.1	1023	57.38	5.10909090909091	Yes	No	PI
GNG13	XM_031945740.1	NC_045426.1	204	46.08	3.4	No	No	I
LOC100916187	XM_031948314.1	NC_045426.1	1854	52.97	3.7280701754386	No	No	I
ECPAS	XM_031942855.1	NC_045426.1	5520	42.95	3.41711229946524	No	No	I
KLF4	XM_031961343.1	NC_045426.1	1524	58.60	4.6	No	No	I
CD226	XM_012541571.3	NC_045426.1	984	40.14	3.38461538461538	No	No	I
RPL37	XM_003759917.3	NC_045426.1	294	47.28	3.78571428571429	No	No	I
RFESD	XM_012541371.2	NC_045426.1	513	34.89	3.1	No	No	I
RSRC2	XM_012542462.3	NC_045426.1	1629	48.50	4.54794520547945	No	No	I
IKZF1	XM_023498280.2	NC_045426.1	1380	51.38	4.19178082191781	No	No	I
NEDD4L	XM_031945920.1	NC_045426.1	3510	43.48	3.56666666666667	No	No	I
RBIS	XM_031946207.1	NC_045426.1	288	37.15	3.25	No	No	I
COPG1	XM_031956487.1	NC_045426.1	2229	51.73	3.77777777777778	No	No	I
SPIN1	XM_031939198.1	NC_045426.1	789	43.47	3.33333333333333	No	No	I
CNBP	XM_031956544.1	NC_045426.1	534	52.43	4	No	No	I
CDKN2D	XM_031947524.1	NC_045426.1	504	70.04	5.43181818181818	No	No	I
PRRT3	XM_031954930.1	NC_045426.1	3597	64.41	4.95593220338983	No	No	I
DTNA	XM_031946439.1	NC_045426.1	2394	46.32	3.55789473684211	No	No	I
PLEKHG4B	XM_031946066.1	NC_045426.1	5337	44.58	3.61111111111111	No	No	I
LRRC24	XM_031947352.1	NC_045426.1	1572	63.55	4.5968992248062	No	No	I
GALT	XM_031945426.1	NC_045426.1	1293	63.34	4.32432432432432	No	No	I
ATP2B2	XM_031955135.1	NC_045426.1	3732	50.43	3.7979797979798	No	No	I
LOC105749671	XM_031949067.1	NC_045426.1	996	41.77	3.60606060606061	No	No	I
CDC25A	XM_031961027.1	NC_045426.1	1428	47.13	4.38181818181818	No	No	I
LUC7L	XM_031945687.1	NC_045426.1	951	45.22	3.9	No	No	I
C1H3orf22	XM_031956042.1	NC_045426.1	603	46.43	3.72413793103448	No	No	I
SETD1A	XM_031939909.1	NC_045426.1	5100	53.55	3.96563573883162	Yes	No	PI
MBP	XM_031946724.1	NC_045426.1	897	51.28	3.63793103448276	No	No	I
SSBP4	XM_031948207.1	NC_045426.1	1077	62.95	4.53921568627451	Yes	No	PI
SLF1	XM_012541376.3	NC_045426.1	2715	39.19	3.48529411764706	No	No	I
PRUNE2	XM_031945523.1	NC_045426.1	9210	41.23	3.38372093023256	No	No	I
LOC116419032	XM_031947461.1	NC_045426.1	1836	36.87	3.14285714285714	No	No	L
LOC100931560	XM_003762665.3	NC_045426.1	1203	54.36	3.93421052631579	No	No	I
RGS22	XM_031947042.1	NC_045426.1	3756	37.91	3.44827586206897	Yes	No	I
JUND	XM_003760756.4	NC_045426.1	1188	73.48	7.14285714285714	Yes	No	M
RNF38	XM_031937204.1	NC_045426.1	1299	47.96	3.42105263157895	No	No	I
SDK1	XM_031949904.1	NC_045426.1	6819	46.34	3.68421052631579	No	No	I
TIGD7	XM_003761894.4	NC_045426.1	1653	36.78	3.425	No	No	I
SSTR5	XM_031945748.1	NC_045426.1	1110	46.13	3.56	No	No	I
NR2F6	XM_031947992.1	NC_045426.1	1182	66.58	4.92592592592593	No	No	I
SLC35B3	XM_031946876.1	NC_045426.1	1014	39.94	3.48387096774194	No	No	I
LOC116422249	XM_031958402.1	NC_045426.1	750	72.13	5.45569620253165	Yes	No	M
PAK1IP1	XM_003760183.4	NC_045426.1	1173	39.56	3.51428571428571	No	No	I
AVL9	XM_031952799.1	NC_045426.1	1944	56.28	4.18705035971223	Yes	No	PI
DUSP22	XM_012541677.3	NC_045426.1	627	47.37	3.6875	No	No	I
NFIX	XM_031947649.1	NC_045426.1	1509	58.65	4.48	Yes	No	PI
FBXO43	XM_031947049.1	NC_045426.1	1809	38.75	3.40384615384615	No	No	I
NFIC	XM_031947887.1	NC_045426.1	1662	58.78	4.38655462184874	Yes	No	I
COL15A1	XM_031945529.1	NC_045426.1	3927	47.34	3.62352941176471	Yes	No	PI
MAPK4	XM_031945953.1	NC_045426.1	1371	52.37	3.725	No	No	I
THEM6	XM_031947295.1	NC_045426.1	621	71.01	5.76	No	No	I
ST3GAL1	XM_012541840.3	NC_045426.1	1029	49.27	3.64	No	No	I
PTPRD	XM_031948187.1	NC_045426.1	4491	44.80	3.49484536082474	No	No	I
DROSHA	XM_031946148.1	NC_045426.1	4401	45.06	3.82456140350877	No	No	I
TPMT	XM_012541625.3	NC_045426.1	738	34.55	3.26315789473684	No	No	I
SPSB3	XM_023497830.2	NC_045426.1	1059	54.01	3.90666666666667	Yes	No	PI
GLYCTK	XM_023498781.2	NC_045426.1	1638	60.07	4.10769230769231	No	No	UL
B3GNT3	XM_003762763.4	NC_045426.1	1194	54.10	4.06666666666667	Yes	No	PI
RASGRF2	XM_031967027.1	NC_045426.1	3600	44.03	3.89147286821705	No	No	I
BICD2	XM_031952009.1	NC_045426.1	2547	63.72	4.65193370165746	Yes	No	PI
MZT2B	XM_031949050.1	NC_045426.1	711	72.29	6.38709677419355	Yes	No	M
RAB11FIP3	XM_031945704.1	NC_045426.1	2802	45.04	3.80208333333333	No	No	I
GTF3C1	XM_023497884.2	NC_045426.1	5481	45.98	3.56967213114754	No	No	I
OSR2	XM_031947038.1	NC_045426.1	828	57.00	4.41666666666667	No	No	I
TPCN1	XM_023497098.2	NC_045426.1	2460	53.54	3.95945945945946	Yes	No	PI
AOPEP	XM_031937710.1	NC_045426.1	2457	44.36	3.37362637362637	No	No	I
SMIM24	XM_031947886.1	NC_045426.1	357	49.30	3.86666666666667	No	No	I
CDYL	XM_031946915.1	NC_045426.1	1680	40.65	3.45614035087719	No	No	I
ZNF706	XM_031947063.1	NC_045426.1	231	45.89	3.33333333333333	No	No	I
MAPK8IP3	XM_031945816.1	NC_045426.1	3261	52.53	3.63451776649746	Yes	No	PI
