Gene stable ID	Gene name	Gene % GC content	Mouse gene stable ID	Last common ancestor with Mouse	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
ENSG00000212907	MT-ND4L	43.10	ENSMUSG00000065947	Eutheria	ortholog_one2one	66.3265	66.3265	100	100.00	1
ENSG00000198886	MT-ND4	44.27	ENSMUSG00000064363	Eutheria	ortholog_one2one	66.8845	66.8845	100	100.00	1
ENSG00000210176	MT-TH	36.23								
ENSG00000210184	MT-TS2	45.76								
ENSG00000210191	MT-TL2	35.21								
ENSG00000198786	MT-ND5	44.92	ENSMUSG00000064367	Eutheria	ortholog_one2one	63.8474	63.4267	100	100.00	1
ENSG00000198695	MT-ND6	42.67	ENSMUSG00000064368	Euarchontoglires	ortholog_one2one	52.2989	52.907	75	100.00	1
ENSG00000210194	MT-TE	39.13								
ENSG00000198727	MT-CYB	46.28	ENSMUSG00000064370	Eutheria	ortholog_one2one	78.1579	77.9528	50	100.00	1
ENSG00000210195	MT-TT	37.88								
ENSG00000210196	MT-TP	33.82								
ENSG00000299200		43.69								
ENSG00000308964		40.72								
ENSG00000278457	5S_rRNA	58.82								
ENSG00000271254		44.36								
ENSG00000276197		75.56								
ENSG00000278573		43.73								
ENSG00000278704		47.38								
ENSG00000309338		51.56								
ENSG00000309357		47.55								
ENSG00000297432		34.55								
ENSG00000297449		31.56								
ENSG00000299314		35.66								
ENSG00000295063		40.30								
ENSG00000303867		38.53								
ENSG00000309229		41.90								
ENSG00000278294	5_8S_rRNA	51.32								
ENSG00000274917	RNA5-8SN5	57.52								
ENSG00000307034		60.42								
ENSG00000310277		40.71								
ENSG00000273730	5_8S_rRNA	57.52								
ENSG00000273937		75.56								
ENSG00000277196		58.96	ENSMUSG00000003526	Eutheria	ortholog_one2many	81.8333	81.9699	25	100.00	1
ENSG00000308580		45.57								
ENSG00000296546		45.78								
ENSG00000303173		38.81								
ENSG00000296902		32.40								
ENSG00000297619		35.98								
ENSG00000296713		49.82								
ENSG00000305511		62.23								
ENSG00000305525		50.06								
ENSG00000278625	U6	35.85	ENSMUSG00001118663	Eutheria	ortholog_one2many	79.2453	78.5047		0.00	0
ENSG00000294644		43.30								
ENSG00000306721		43.57								
ENSG00000300051		40.97								
ENSG00000303750		40.41								
ENSG00000278817		57.94	ENSMUSG00000003531	Mammalia	ortholog_one2many	83.1818	78.5408	25	100.00	1
ENSG00000276017		60.52								
ENSG00000297072		47.33								
ENSG00000300074		36.21								
ENSG00000300093		38.97								
ENSG00000301131		43.24								
ENSG00000300846		40.34								
ENSG00000307470		40.35								
ENSG00000303733		56.36								
ENSG00000305236		56.48								
ENSG00000309233		50.21								
ENSG00000303902		39.84								
ENSG00000302039		36.91								
ENSG00000297844		44.73								
ENSG00000277630		36.73								
ENSG00000295160		41.86								
ENSG00000300815		46.69								
ENSG00000306528		36.49								
ENSG00000304057		61.61								
ENSG00000296348		36.40								
ENSG00000277428	Y_RNA	38.61								
ENSG00000307824		34.73								
ENSG00000276256		37.57								
ENSG00000295668		37.41								
ENSG00000304745		39.76								
ENSG00000303853		40.83								
ENSG00000303221		38.94								
ENSG00000306744		43.36								
ENSG00000306767		35.71								
ENSG00000308844		39.62								
ENSG00000278793	U6	43.93								
ENSG00000298861		41.01								
ENSG00000308643		57.14								
ENSG00000303875		47.16								
ENSG00000303892		47.15								
ENSG00000303912		38.52								
ENSG00000308185		38.98								
ENSG00000277374	U1	45.45								
ENSG00000303573		40.07								
ENSG00000309296		34.66								
ENSG00000307722		46.19								
ENSG00000274202	U2	31.86								
ENSG00000310401		36.32								
ENSG00000309793		36.29								
ENSG00000304792		38.79								
ENSG00000304816		39.65								
ENSG00000309831		38.16								
ENSG00000309258		43.89								
ENSG00000304845		34.20								
ENSG00000275987	U1	52.78								
ENSG00000268674		58.43								
ENSG00000277475		60.17								
ENSG00000275405	U1	54.27								
ENSG00000298139		46.91								
ENSG00000301573		40.55								
ENSG00000301587		39.55								
ENSG00000298153		46.00								
ENSG00000298169		60.91								
ENSG00000298181		57.89								
ENSG00000273748		38.41	ENSMUSG00000031590	Boreoeutheria	ortholog_one2many	78.8618	37.5969	0	68.23	0
ENSG00000296581		41.13								
ENSG00000297972		37.45								
ENSG00000293919		40.85								
ENSG00000296598		37.63								
ENSG00000300519		33.85								
ENSG00000278633		60.44								
ENSG00000278066		43.73								
ENSG00000296618		35.59								
ENSG00000276711	U2	31.86								
ENSG00000295378		38.68								
ENSG00000302961		39.90								
ENSG00000304422		54.83								
ENSG00000275661		63.79								
ENSG00000276351		60.87	ENSMUSG00002075214	Eutheria	ortholog_one2many	91.3043	90		100.00	1
ENSG00000276345		60.59	ENSMUSG00000037772	Euarchontoglires	ortholog_one2many	81.6993	85.6164	0	100.00	1
ENSG00000273532		77.46	ENSMUSG00002076121	Eutheria	ortholog_one2many	91.5493	91.5493		100.00	1
ENSG00000294171		62.23								
ENSG00000297558		47.31								
ENSG00000298095		43.37								
ENSG00000296634		44.85								
ENSG00000303588		48.99								
ENSG00000293939		43.29								
ENSG00000294191		63.93								
ENSG00000308966		57.24								
ENSG00000293969		38.61								
ENSG00000309079		53.97								
ENSG00000299852		64.05								
ENSG00000299870		65.29								
ENSG00000299885		64.06								
ENSG00000277400		45.63								
ENSG00000274847	MAFIP	45.64	ENSMUSG00000024175	Euarchontoglires	ortholog_one2many	62.0155	17.8971	0	93.23	0
ENSG00000307061		44.28								
ENSG00000298772		46.19								
ENSG00000276312		75.56								
ENSG00000276700	RNA5-8SN4	57.52								
ENSG00000275757	5_8S_rRNA	57.52								
ENSG00000273739		75.56								
ENSG00000298142		45.71								
ENSG00000301406		38.29								
ENSG00000307206		44.33								
ENSG00000307077		39.35								
ENSG00000310376		62.04								
ENSG00000298793		56.36								
ENSG00000310392		50.00								
ENSG00000306938		34.92								
ENSG00000310347		41.81								
ENSG00000276932	Y_RNA	38.61								
ENSG00000302801		32.82								
ENSG00000307088		41.84								
ENSG00000306402		39.59								
ENSG00000293753		39.26								
ENSG00000299010		35.40								
ENSG00000275063		57.27	ENSMUSG00000096464	Amniota	ortholog_many2many	57.265	57.7586	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000094164	Amniota	ortholog_many2many	59.8291	60.8696	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000076676	Amniota	ortholog_many2many	61.5385	61.5385	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000093838	Amniota	ortholog_many2many	65.812	66.3793	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000094029	Amniota	ortholog_many2many	66.6667	67.2414	0	0.00	0
ENSG00000275063		57.27	ENSMUSG00000076674	Amniota	ortholog_many2many	64.9573	58.0153	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000096638	Amniota	ortholog_many2many	61.5385	62.069	25	27.84	0
ENSG00000275063		57.27	ENSMUSG00000096498	Amniota	ortholog_many2many	56.4103	56.8966	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000096670	Amniota	ortholog_many2many	60.6838	61.2069	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000076672	Amniota	ortholog_many2many	67.5214	68.1034	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000103939	Amniota	ortholog_many2many	63.2479	63.2479	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000076646	Amniota	ortholog_many2many	58.9744	59.4828	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000095565	Amniota	ortholog_many2many	59.8291	60.3448	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000096824	Amniota	ortholog_many2many	59.8291	60.3448	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000076670	Amniota	ortholog_many2many	63.2479	63.2479	25	0.00	0
ENSG00000275063		57.27	ENSMUSG00000095866	Amniota	ortholog_many2many	57.265	57.7586	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000094951	Eutheria	ortholog_many2many	74.4898	62.3932	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000096407	Eutheria	ortholog_many2many	65.3061	53.7815	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000076680	Eutheria	ortholog_many2many	71.4286	58.8235	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000094533	Eutheria	ortholog_many2many	58.1633	48.7179	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000076677	Eutheria	ortholog_many2many	69.3878	57.6271	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095612	Eutheria	ortholog_many2many	73.4694	61.5385	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095429	Eutheria	ortholog_many2many	75.5102	63.2479	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000087582	Eutheria	ortholog_many2many	64.2857	52.9412	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000076633	Eutheria	ortholog_many2many	63.2653	52.9915	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095981	Eutheria	ortholog_many2many	72.449	59.6639	0	0.00	0
ENSG00000277856		53.06	ENSMUSG00000103033	Eutheria	ortholog_many2many	71.4286	59.8291	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095571	Eutheria	ortholog_many2many	76.5306	64.1026	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000094194	Eutheria	ortholog_many2many	70.4082	58.9744	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095285	Eutheria	ortholog_many2many	76.5306	64.1026	25	100.00	1
ENSG00000277856		53.06	ENSMUSG00000094134	Eutheria	ortholog_many2many	73.4694	61.5385	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000096108	Eutheria	ortholog_many2many	60.2041	50.4273	0	0.00	0
ENSG00000277856		53.06	ENSMUSG00000094174	Eutheria	ortholog_many2many	63.2653	52.1008	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000076661	Eutheria	ortholog_many2many	68.3673	57.265	0	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095700	Eutheria	ortholog_many2many	74.4898	61.3445	0	0.00	0
ENSG00000277856		53.06	ENSMUSG00000095210	Eutheria	ortholog_many2many	69.3878	53.9683	25	0.00	0
ENSG00000277856		53.06	ENSMUSG00000076655	Eutheria	ortholog_many2many	64.2857	54.3103	25	0.00	0
ENSG00000298751		42.97								
ENSG00000298769		51.40								
ENSG00000301091		40.62								
ENSG00000303154		50.54								
ENSG00000278384		50.21								
ENSG00000301761		44.47								
ENSG00000307122		42.17								
ENSG00000307143		38.87								
ENSG00000307166		45.47								
ENSG00000274175		49.00								
ENSG00000273554		62.83	ENSMUSG00000019558	Eutheria	ortholog_one2many	94.4882	94.4882	0	100.00	1
ENSG00000275869		49.00								
ENSG00000278510		53.26								
ENSG00000273843		40.36								
ENSG00000277836		54.51								
ENSG00000294926		36.52								
ENSG00000295260		57.69								
ENSG00000295285		58.58								
ENSG00000295455		43.21								
ENSG00000295648		63.13								
ENSG00000296644		43.45								
ENSG00000301787		46.43								
ENSG00000296798		43.85								
ENSG00000297394		37.62								
ENSG00000297936		47.41								
ENSG00000300662		46.01								
ENSG00000301410		40.61								
ENSG00000303548		49.30								
ENSG00000303746		46.28								
ENSG00000304032		43.94								
ENSG00000304964		43.23								
ENSG00000305027		53.18								
ENSG00000305713		43.07								
ENSG00000306124		49.10								
ENSG00000307249		39.01								
ENSG00000308567		43.98								
ENSG00000306474		39.28								
ENSG00000309335		43.41								
ENSG00000310156		44.87								
ENSG00000296732		41.58								
ENSG00000306526		38.73								
ENSG00000296756		35.98								
ENSG00000296775		39.89								
ENSG00000298469		47.36								
ENSG00000306901		58.63								
ENSG00000277890	U6	42.99								
ENSG00000275249		41.97	ENSMUSG00000045306	Euarchontoglires	ortholog_one2many	88.4984	88.4984	25	100.00	1
ENSG00000274792		43.41	ENSMUSG00000091873	Euarchontoglires	ortholog_many2many	83.2279	85.3896	25	0.00	0
ENSG00000274792		43.41	ENSMUSG00000090874	Euarchontoglires	ortholog_many2many	79.4304	81.4935	25	100.00	1
ENSG00000276872		46.86								
ENSG00000276760		36.66								
ENSG00000277927	U6	43.93								
ENSG00000294368		39.67								
ENSG00000294897		38.22								
ENSG00000297236		37.45								
ENSG00000307608		44.80								
ENSG00000309787		54.41								
ENSG00000309802		56.85								
ENSG00000278673		43.95								
ENSG00000294916		39.31								
ENSG00000291360	RPL23AP45	49.79								
ENSG00000291361		35.15								
ENSG00000291362	C8orf33	46.22								
ENSG00000291364	LINC02688	64.82								
ENSG00000291363	MUC5AC	61.79								
ENSG00000293532	MUC2	63.46								
ENSG00000288360	ZSWIM4	53.53								
ENSG00000288519		59.17								
ENSG00000288240	RN7SL619P	54.26								
ENSG00000288498	MIR23AHG	57.53								
ENSG00000288126	MIR24-2	54.79								
ENSG00000288183	MIR27A	60.26								
ENSG00000288462	MIR23A	57.53								
ENSG00000288505	NANOS3	56.97								
ENSG00000288397	MIR181C	54.55								
ENSG00000288329	MIR181D	59.85								
ENSG00000288152	BRME1	52.62								
ENSG00000288293	CC2D1A	53.88								
ENSG00000288195	PODNL1	54.14								
ENSG00000288453	DCAF15	59.89								
ENSG00000288283	RFX1	56.30								
ENSG00000288351		51.99								
ENSG00000288474	RLN3	51.91								
ENSG00000288441		57.89								
ENSG00000288185	IL27RA	51.73								
ENSG00000288318	PALM3	57.47								
ENSG00000288278	EEF1DP1	59.82								
ENSG00000288191	MISP3	67.75								
ENSG00000288366	MIR1199	79.83								
ENSG00000288239	C19orf67	55.97								
ENSG00000288516	PRKACA	53.35								
ENSG00000288496		43.98								
ENSG00000288210	ASF1B	50.78								
ENSG00000288348	ADGRL1-AS1	55.97								
ENSG00000288324	ADGRL1	56.42								
ENSG00000288289	RN7SL231P	55.88								
ENSG00000288425		53.53								
ENSG00000288433		48.25								
ENSG00000288488	SAMD1	67.21								
ENSG00000291365	CNTNAP3C	38.39								
ENSG00000291366	RN7SL462P	53.26								
ENSG00000280864		44.83								
ENSG00000281822	RNU1-62P	45.73								
ENSG00000280505	MTCO3P47	48.80								
ENSG00000280775	RNA5SP136	47.66								
ENSG00000281766	RYBP	38.54								
ENSG00000288175	SYT15B	56.12								
ENSG00000288244		45.60								
ENSG00000288157	NPY4R2	52.24								
ENSG00000288304		50.43								
ENSG00000288481	FAM25C	50.18								
ENSG00000288424	AGAP12P	40.37								
ENSG00000290627	AGAP12P	40.53								
ENSG00000288201	RNA5SP315	47.41								
ENSG00000288196	BMS1P7	40.35								
ENSG00000288457		62.27								
ENSG00000288522		52.59								
ENSG00000288204	HMX1	59.37								
ENSG00000288247		63.42								
ENSG00000292327	PPP2R3B	58.28								
ENSG00000292328	RPL14P5	51.72								
ENSG00000292329		59.60								
ENSG00000292332	IL3RA	54.54								
ENSG00000292333	P2RY8	48.23								
ENSG00000292334	SLC25A6	57.28								
ENSG00000292337	DHRSX-IT1	48.35								
ENSG00000292338	DHRSX	47.11								
ENSG00000292339	ASMTL	52.23								
ENSG00000292342	LINC00685	51.97								
ENSG00000292344	PLCXD1	53.82								
ENSG00000292345	ZBED1	49.62								
ENSG00000292346	MIR6089	84.38								
ENSG00000292347	LINC00102	39.58								
ENSG00000292348	CD99	47.38								
ENSG00000292350	Metazoa_SRP	53.10								
ENSG00000292352	FABP5P13	46.04								
ENSG00000292353	KRT18P53	54.70								
ENSG00000292354	SHOX	51.23								
ENSG00000292355	MIR3690	53.33								
ENSG00000292356	RNA5SP498	44.17								
ENSG00000292361	CD99P1	40.35								
ENSG00000292363	CRLF2	46.83								
ENSG00000292343	AKAP17A	60.91								
ENSG00000292336	ASMT	52.08								
ENSG00000292330		48.67								
ENSG00000292357	CSF2RA	50.90								
ENSG00000310541		47.99								
ENSG00000310543		48.09								
ENSG00000310544		49.15								
ENSG00000310545		57.13								
ENSG00000310546		47.26								
ENSG00000292331	ASMTL-AS1	52.42								
ENSG00000310547		47.97								
ENSG00000310548		47.91								
ENSG00000292349		50.10								
ENSG00000292341	LINC00106	55.51								
ENSG00000310549		49.19								
ENSG00000310551		67.24								
ENSG00000310552		46.43								
ENSG00000292335		48.32								
ENSG00000310553		62.30								
ENSG00000310554		62.01								
ENSG00000310556		38.31								
ENSG00000310540	LINC02968	45.80								
ENSG00000288372		53.99								
ENSG00000288288		56.92								
ENSG00000288129		53.21								
ENSG00000288472	LINC03015	48.82								
ENSG00000292362	CD99P1	44.34								
ENSG00000288417	LINC03014	51.41								
ENSG00000288502		57.01								
ENSG00000288311		56.58								
ENSG00000288449		61.72								
ENSG00000288499	FAM20C	59.41								
ENSG00000288159		56.19								
ENSG00000288431		65.45								
ENSG00000292360	LINC03112	47.06								
ENSG00000310557		47.44								
ENSG00000292358	GTPBP6	57.12								
ENSG00000292364	AMD1P2	39.72								
ENSG00000292365	DPH3P2	39.60								
ENSG00000292366	VAMP7	38.75								
ENSG00000292367	ELOCP24	40.42								
ENSG00000292368	TRPC6P1	42.27								
ENSG00000292369		53.18								
ENSG00000292371	DDX11L16	58.08								
ENSG00000292372	WASH6P	59.75								
ENSG00000310550		37.32								
ENSG00000310555		43.82								
ENSG00000292370	WASIR1	53.37								
ENSG00000292373	IL9R	55.06								
ENSG00000310542		58.70								
ENSG00000215601	TSPY24P	56.86								
ENSG00000215603	ZNF92P1Y	34.84								
ENSG00000225878	SERBP1P2	44.42								
ENSG00000236435	TSPY12P	51.44								
ENSG00000258991	DUX4L19	68.75								
ENSG00000224518		34.85								
ENSG00000231988	OFD1P3Y	36.19								
ENSG00000238073	RBMY2HP	39.89								
ENSG00000275866		57.92								
ENSG00000271595	ELOCP35	36.61								
ENSG00000183704	SLC9B1P1	36.89								
ENSG00000232927	USP12PY	38.25								
ENSG00000277438	KDM5DP1	43.96								
ENSG00000259154	DUX4L17	65.59								
ENSG00000273863		39.03								
ENSG00000271375		47.95								
ENSG00000224634	ZNF736P6Y	34.21								
ENSG00000285470	TUSC2P1	50.44								
ENSG00000234620	PUDPP1	41.45								
ENSG00000236690		56.46								
ENSG00000273693	CDRT15P10	60.41								
ENSG00000114374	USP9Y	38.76	ENSMUSG00000069044	Euarchontoglires	ortholog_one2one	82.7789	82.7465	25	98.85	1
ENSG00000291371	Y_RNA	45.92								
ENSG00000291372	RNU6-409P	36.54								
ENSG00000291368	ACR	55.58								
ENSG00000291369		53.18								
ENSG00000291370	SNRPA1P2	47.24								
ENSG00000292254	SHANK3	57.62								
ENSG00000223422		56.24								
ENSG00000225653	RNF19BPY	40.26								
ENSG00000228578	TUBB1P2	55.29								
ENSG00000275280		64.42								
ENSG00000270242	ACTR3BP1	42.16								
ENSG00000236477	RPS24P1	43.63								
ENSG00000237997	RCC2P2	44.44								
ENSG00000244246	ZNF736P8Y	33.18								
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000113805	Euarchontoglires	ortholog_one2many	93.0556	93.0556	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000079034	Euarchontoglires	ortholog_one2many	93.0556	93.0556	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000113971	Euarchontoglires	ortholog_one2many	92.3611	92.3611	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000079031	Euarchontoglires	ortholog_one2many	89.5833	89.5833	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000096619	Euarchontoglires	ortholog_one2many	92.3611	92.3611	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000113201	Euarchontoglires	ortholog_one2many	90.9722	90.9722	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000079029	Euarchontoglires	ortholog_one2many	91.6667	91.6667	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000095724	Euarchontoglires	ortholog_one2many	92.3611	92.3611	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000096803	Euarchontoglires	ortholog_one2many	90.2778	90.2778	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000092019	Euarchontoglires	ortholog_one2many	89.5833	89.5833	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000057561	Euarchontoglires	ortholog_one2many	97.9167	55.5118	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000096049	Euarchontoglires	ortholog_one2many	90.2778	90.2778	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000072905	Euarchontoglires	ortholog_one2many	91.6667	91.6667	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000095799	Euarchontoglires	ortholog_one2many	93.0556	93.0556	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000093847	Euarchontoglires	ortholog_one2many	93.75	93.75	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000095717	Euarchontoglires	ortholog_one2many	93.0556	93.0556	0	0.00	0
ENSG00000198692	EIF1AY	35.59	ENSMUSG00000114075	Euarchontoglires	ortholog_one2many	92.3611	92.3611	0	0.00	0
ENSG00000183753	BPY2	42.58								
ENSG00000225433	MTND1P12	41.50								
ENSG00000235857	CTBP2P1	53.06								
ENSG00000223955	MTND6P1	34.43								
ENSG00000270455	PABPC1P5	41.56								
ENSG00000234385	RCC2P1	51.02								
ENSG00000226863	SHROOM2P1	47.93								
ENSG00000271365		68.34								
ENSG00000259029	DUX4L18	66.46								
ENSG00000215537	ZNF736P11Y	33.47								
ENSG00000229745	BPY2DP	39.84								
ENSG00000275828	CHEK2P1	45.40								
ENSG00000232522	ZNF886P	40.23								
ENSG00000277519	OFD1P16Y	32.19								
ENSG00000273731		63.47								
ENSG00000215583	ASS1P6	51.46								
ENSG00000274162	SNX18P1Y	52.25								
ENSG00000233774	MED14P1	40.10								
ENSG00000228764	ZNF885P	30.82								
ENSG00000232226	ARSFP1	38.39								
ENSG00000224567		50.00								
ENSG00000241200	ZNF736P7Y	33.41								
ENSG00000228518	SURF6P1	56.11								
ENSG00000274231		39.09								
ENSG00000274502	ANKRD20A6P	64.22								
ENSG00000278854		37.63								
ENSG00000225809	RBMY2KP	34.92								
ENSG00000232419	TTTY19	41.38								
ENSG00000226906	TTTY4	42.25								
ENSG00000230025		56.08								
ENSG00000235649	MXRA5Y	41.06								
ENSG00000258567	DUX4L16	67.17								
ENSG00000234179	MTCYBP1	38.16								
ENSG00000271309		67.79								
ENSG00000228240	TTTY17A	42.67								
ENSG00000234652	AGPAT5P1	40.33								
ENSG00000218410		41.01								
ENSG00000224989	FAM41AY1	36.56								
ENSG00000273858		54.05								
ENSG00000227830	TRIM60P3Y	37.03								
ENSG00000226529	MTND1P1	33.70								
ENSG00000274837		40.70								
ENSG00000216777	PRRC2CP1	43.40								
ENSG00000216824	ZNF736P10Y	35.05								
ENSG00000276829		38.45								
ENSG00000283076		52.12								
ENSG00000234850	MTND2P3	32.77								
ENSG00000270570		71.60								
ENSG00000223517		39.91								
ENSG00000228207		57.43								
ENSG00000225117	ARSDP1	46.29								
ENSG00000228411	CDY4P	44.99								
ENSG00000229518	UBE2V1P3	41.49								
ENSG00000232730	FAM8A4P	51.20								
ENSG00000244000		35.18								
ENSG00000232764	TRIM60P8Y	38.60								
ENSG00000236131	MED13P1	42.11								
ENSG00000227949	CYCSP46	40.69								
ENSG00000252900	RNU6-303P	33.96								
ENSG00000252689		31.06	ENSMUSG00000065202	Eutheria	ortholog_one2many	65.9091	76.9911		0.00	0
ENSG00000243980	RN7SL702P	54.45								
ENSG00000252315	RNA5SP520	57.52								
ENSG00000252012	RNA5SP521	57.76								
ENSG00000273966		56.67								
ENSG00000252173	RNU6-109P	32.71								
ENSG00000252323	RNU6-184P	32.71								
ENSG00000169953	HSFY2	39.22	ENSMUSG00000045336	Euarchontoglires	ortholog_one2many	44.389	45.4082	0	100.00	0
ENSG00000236429	GPM6BP2	36.11								
ENSG00000249501	USP9YP2	31.95								
ENSG00000228193	ELOCP14	39.58								
ENSG00000230904	XKRYP2	40.04								
ENSG00000238135	USP9YP10	33.90								
ENSG00000251970	RNU1-41P	46.30								
ENSG00000238088	OFD1P7Y	36.09								
ENSG00000217179	MTCYBP2	40.35								
ENSG00000217896	ZNF839P1	46.32								
ENSG00000185275	CD24P4	54.32								
ENSG00000252766	RNU6-255P	32.38								
ENSG00000288269	GCGR	65.97								
ENSG00000274282		39.91								
ENSG00000234529	GAPDHP19	46.67								
ENSG00000238191	CLUHP1	49.76								
ENSG00000226353	TAF9P1	40.56								
ENSG00000226449	CDY5P	40.89								
ENSG00000225896	ELOCP36	38.30								
ENSG00000229129	ACTG1P2	55.02								
ENSG00000223555	USP9YP23	24.87								
ENSG00000235521	USP9YP27	33.59								
ENSG00000252513	RNU1-128P	48.75								
ENSG00000224964	TRAPPC2P3	37.77								
ENSG00000225740	ELOCP6	36.59								
ENSG00000229138	CDY6P	43.60								
ENSG00000224485	USP9YP7	30.90								
ENSG00000226116	USP9YP6	33.65								
ENSG00000237558	CDY7P	42.00								
ENSG00000233378	USP9YP34	33.61								
ENSG00000237616	USP9YP32	30.90								
ENSG00000224033	CDY8P	43.60								
ENSG00000230412	ELOCP12	36.59								
ENSG00000225895	TRAPPC2P8	37.58								
ENSG00000233120	USP9YP15	33.53								
ENSG00000252166	RNU1-95P	48.75								
ENSG00000232744	USP9YP16	24.84								
ENSG00000229465	ACTG1P11	55.02								
ENSG00000236599	ELOCP26	38.30								
ENSG00000232899	CDY9P	40.89								
ENSG00000229302	TAF9P2	40.61								
ENSG00000228945	CLUHP2	49.78								
ENSG00000278391		56.67								
ENSG00000251953	RNA5SP522	57.76								
ENSG00000252667	RNA5SP523	57.52								
ENSG00000249726	TUBB1P1	55.14								
