Species_name,Inv,Vend,Vect,Vfish,Vunk,Scav,Fruit,Nect,Seed,PlantO
Ursus_maritimus,0,90,0,10,0,0,0,0,0,0
Mustela_putorius,10,50,20,20,0,0,0,0,0,0
Ailurus_fulgens,10,10,0,0,0,0,10,0,10,60
Vulpes_vulpes,20,70,0,0,0,0,10,0,0,0
Hyaena_hyaena,10,10,0,0,0,70,10,0,0,0
Neovison_vison,10,50,20,20,0,0,0,0,0,0
Enhydra_lutris,50,0,0,50,0,0,0,0,0,0
Odobenus_rosmarus,80,10,0,10,0,0,0,0,0,0
Leptonychotes_weddellii,40,0,0,60,0,0,0,0,0,0
Callorhinus_ursinus,40,0,0,60,0,0,0,0,0,0
Acinonyx_jubatus,0,100,0,0,0,0,0,0,0,0
Felis_catus,0,100,0,0,0,0,0,0,0,0
Loxodonta_africana,0,0,0,0,0,0,0,0,0,100
Trichechus_manatus,0,0,0,0,0,0,0,0,0,100
Procavia_capensis,0,0,0,0,0,0,0,0,0,100
Echinops_telfairi,60,0,0,0,0,0,40,0,0,0
Chrysochloris_asiatica,100,0,0,0,0,0,0,0,0,0
Elephantulus_edwardii,100,0,0,0,0,0,0,0,0,0
Orycteropus_afer,100,0,0,0,0,0,0,0,0,0
Dasypus_novemcinctus,100,0,0,0,0,0,0,0,0,0
Choloepus_hoffmanni,0,0,0,0,0,0,30,0,0,70
Sarcophilus_harrisii,0,0,0,0,0,100,0,0,0,0
Monodelphis_domestica,20,20,0,0,0,20,20,0,20,0
