Species_name,SAMD9_gene_status,Species_name,Inv,Vend,Vect,Vfish,Vunk,Scav,Fruit,Nect,Seed,PlantO
Jaculus_jaculus,I,Jaculus_jaculus,0,0,0,0,0,0,0,0,40,60
Macaca_mulatta,I,Macaca_mulatta,10,0,0,0,0,0,30,0,20,40
Marmota_flaviventris,I,Marmota_flaviventris,0,0,0,0,0,0,30,0,30,40
Meriones_unguiculatus,I,Meriones_unguiculatus,20,0,0,0,0,0,10,0,20,50
Mesocricetus_auratus,I,Mesocricetus_auratus,0,10,0,0,0,0,30,0,30,30
Miniopterus_natalensis,I,Miniopterus_natalensis,100,0,0,0,0,0,0,0,0,0
Myotis_brandtii,I,Myotis_brandtii,100,0,0,0,0,0,0,0,0,0
Myotis_davidii,I,Myotis_davidii,100,0,0,0,0,0,0,0,0,0
Nasalis_larvatus,L,Nasalis_larvatus,0,0,0,0,0,0,20,0,0,80
Neophocaena_asiaeorientalis,I,Neophocaena_asiaeorientalis,40,0,0,60,0,0,0,0,0,0
Octodon_degus,I,Octodon_degus,0,0,0,0,0,0,20,0,20,60
Odocoileus_virginianus,I,Odocoileus_virginianus,0,0,0,0,0,0,0,0,10,90
Okapia_johnstoni,I,Okapia_johnstoni,0,0,0,0,0,0,0,0,0,100
Orcinus_orca,I,Orcinus_orca,25,50,0,25,0,0,0,0,0,0
Oryctolagus_cuniculus,I,Oryctolagus_cuniculus,0,0,0,0,0,0,0,0,0,100
Otolemur_garnettii,I,Otolemur_garnettii,20,0,0,0,0,0,20,60,0,0
Ovis_aries,I,Ovis_aries,0,0,0,0,0,0,0,0,0,100
Pantholops_hodgsonii,I,Pantholops_hodgsonii,0,0,0,0,0,0,0,0,0,100
Pan_troglodytes,I,Pan_troglodytes,10,0,0,0,0,0,60,0,0,30
Physeter_catodon,I,Physeter_catodon,100,0,0,0,0,0,0,0,0,0
Pongo_abelii,I,Pongo_abelii,10,0,0,0,10,0,80,0,0,0
Psammomys_obesus,I,Psammomys_obesus,0,0,0,0,0,0,0,0,0,100
Pteronotus_parnellii,I,Pteronotus_parnellii,100,0,0,0,0,0,0,0,0,0
Pteropus_alecto,I,Pteropus_alecto,0,0,0,0,0,0,100,0,0,0
Rattus_norvegicus,I,Rattus_norvegicus,30,0,0,0,0,0,20,0,40,10
Rhinolophus_ferrumequinum,I,Rhinolophus_ferrumequinum,100,0,0,0,0,0,0,0,0,0
Rhinolophus_sinicus,I,Rhinolophus_sinicus,80,0,0,0,0,0,0,0,10,10
Rhinopithecus_roxellana,L,Rhinopithecus_roxellana,0,0,0,0,0,0,10,0,10,80
Rousettus_aegyptiacus,I,Rousettus_aegyptiacus,0,0,0,0,0,0,60,40,0,0
Sorex_araneus,I,Sorex_araneus,70,0,0,0,0,30,0,0,0,0
Spalax_galili,I,Spalax_galili,0,0,0,0,0,0,0,0,20,80
Spermophilus_tridecemlineatus,I,Spermophilus_tridecemlineatus,20,0,0,0,0,0,0,0,40,40
Sus_scrofa,I,Sus_scrofa,10,0,0,0,10,10,0,0,10,60
Trachops_cirrhosus,I,Trachops_cirrhosus,50,0,40,0,0,0,10,0,0,0
Tursiops_aduncus,I,Tursiops_aduncus,20,0,0,80,0,0,0,0,0,0
Ursus_americanus,L,Ursus_americanus,0,10,0,10,0,0,50,0,0,30
Ursus_arctos,L,Ursus_arctos,10,10,0,0,0,0,20,0,0,60
Ursus_maritimus,L,Ursus_maritimus,0,90,0,10,0,0,0,0,0,0
