Gene	Test	LRT	p_value	K
XM_012549977.1	Thylacinus_cynocephalus	0.8507107915593224	0.3563513360963628	0.5915622918278473
XM_012550455.3	Thylacinus_cynocephalus	50.22371275866499	1.371791569226843e-12	6.47152491817483e-07
XM_012551447.2	Thylacinus_cynocephalus	0.3317286020082975	0.5646429930981407	1.096346112836898
XM_012552654.3	Thylacinus_cynocephalus	5.984186276569744	0.0144347004344838	0
XM_023495014.1	Thylacinus_cynocephalus	0.9907701713691495	0.3195542107727513	0.5265766782544324
XM_023495580.2	Thylacinus_cynocephalus	0.01976686256784888	0.8881901553933425	0.6456409050652077
XM_023503210.1	Thylacinus_cynocephalus	0.5688503770343232	0.4507161079118401	1.986586132905371
XM_023504507.2	Thylacinus_cynocephalus	1.026846102442505	0.3109005803823062	1.262463608472877
XM_023505070.2	Thylacinus_cynocephalus	0.1806605738674989	0.6708061673982066	1.125624919949701
XM_023506394.1	Thylacinus_cynocephalus	5.480152341398934	0.01923358269596087	0.3815537854321303
XM_031938591.1	Thylacinus_cynocephalus	0.05703101272683853	0.8112516223131168	0.788374678764734
XM_031938910.1	Thylacinus_cynocephalus	5.722864887147807	0.01674538581207063	0.0001525116199740871
XM_031940230.1	Thylacinus_cynocephalus	1.786506929955067	0.1813523386986359	1.406273601708341
XM_031940232.1	Thylacinus_cynocephalus	4.863415999197969	0.02743197015780152	0.2158416866917701
XM_031942268.1	Thylacinus_cynocephalus	6.693940545857913	0.009674113955384533	2.756288295448996
XM_031942317.1	Thylacinus_cynocephalus	0.9877994464477524	0.3202808044451254	2.250189636923826e-05
XM_031944588.1	Thylacinus_cynocephalus	0.335366410642564	0.5625161072643423	0.118489347379489
XM_031944628.1	Thylacinus_cynocephalus	0.4401923425793939	0.5070296344432201	0.313967371256035
XM_031949304.1	Thylacinus_cynocephalus	0.6749052551886052	0.4113466213609773	1.504207072927051
XM_031949322.1	Thylacinus_cynocephalus	0.9950983995986462	0.3184994656195456	0.2726778282963349
XM_031950012.1	Thylacinus_cynocephalus	1.302437252155869	0.2537685110235773	0.7322320835834373
XM_031953098.1	Thylacinus_cynocephalus	-1.132830220740288e-07	1	0.9999999998604315
XM_031954205.1	Thylacinus_cynocephalus	6.254704376562586	0.01238639171658695	8.952093042112757
XM_031956389.1	Thylacinus_cynocephalus	0.8840357147373652	0.3470987071344394	1.367191241915579e-06
XM_031956390.1	Thylacinus_cynocephalus	1.230056708651318	0.2673960099326653	0.04995852308735809
XM_031956677.1	Thylacinus_cynocephalus	0.2500646186490485	0.6170295811863171	1.12550842187525
XM_031957271.1	Thylacinus_cynocephalus	6.51690866824174	0.01068535779281599	0.06424126268485481
XM_031957279.1	Thylacinus_cynocephalus	0.469739205609585	0.493107170661265	0.7464222006291908
XM_031960502.1	Thylacinus_cynocephalus	4.017902205365317	0.0450196780269857	0.2458250460140978
XM_031960803.1	Thylacinus_cynocephalus	1.648741479941236	0.1991303090442993	29.21373532866711
XM_031961435.1	Thylacinus_cynocephalus	1.629336647347372	0.2017948241577201	0.4884928428342351
XM_031961483.1	Thylacinus_cynocephalus	2.48632888956854	0.1148393147650967	1.506908228751385
XM_031961793.1	Thylacinus_cynocephalus	0.04041502158634103	0.8406713032104005	0.9179358271338363
XM_031963470.1	Thylacinus_cynocephalus	2.037683229646063	0.1534431923472105	0.5019152707883883
XM_031963471.1	Thylacinus_cynocephalus	1.829915227133824	0.1761375588267238	0.4532807537607147
XM_031965195.1	Thylacinus_cynocephalus	2.382656393052457	0.1226887645441475	2.258203815993935
XM_031968564.1	Thylacinus_cynocephalus	0.003485256329440745	0.9529233868073963	0.9716455742119567
